day,timestamp,action,actor,amount,rewardRatePioneersScaled,rewardRateTakadaoScaled,periodFinish,revenuePerNftOwnedByPioneers,takadaoRevenueScaled,totalSupply,balanceOfActor,earnedViewBefore,approvedDeposits
8,691201,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,4068259,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,4,4068259,5509810735
8,691201,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,33563143,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,33,33563143,5476247592
8,691201,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,21358364,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,21,21358364,5454889228
8,691201,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,70855525,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,0,70855525,5384033703
9,777601,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,600000000,1679561889838268147353,559853963279422715783,3369601,2854428619804827569600242,198858527179736320681459200,209,0,0,5984033703
10,864001,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,700000000,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,0,0,6684033703
10,864001,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,66917461,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,50,66917461,6617116242
10,864001,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,40150476,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,30,40150476,6576965766
10,864001,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,24090286,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,18,24090286,6552875480
10,864001,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,9368444,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,7,9368444,6543507036
10,864001,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,33458730,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,25,33458730,6510048306
10,864001,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,16060190,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,12,16060190,6493988116
10,864001,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,12045143,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,9,12045143,6481942973
10,864001,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,5353396,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,4,5353396,6476589577
10,864001,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,44165524,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,33,44165524,6432424053
10,864001,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,28105333,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,21,28105333,6404318720
10,864001,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,93238329,1826122789806622172070,608707596602207390688,3456001,3548754683355192966400716,247229909607078443325110400,209,0,93238329,6311080391
11,950401,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,1000000000,2054603881998253284852,684867960666084428282,3542401,4303668602203480792557883,299822245953509161880553600,209,0,0,7311080391
12,1036801,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,800000000,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,0,0,8111080391
12,1036801,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,80214063,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,50,80214063,8030866328
12,1036801,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,48128437,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,30,48128437,7982737891
12,1036801,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,28877062,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,18,28877062,7953860829
12,1036801,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,11229968,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,7,11229968,7942630861
12,1036801,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,40107031,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,25,40107031,7902523830
12,1036801,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,19251375,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,12,19251375,7883272455
12,1036801,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,14438531,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,9,14438531,7868833924
12,1036801,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,6417125,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,4,6417125,7862416799
12,1036801,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,52941281,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,33,52941281,7809475518
12,1036801,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,33689906,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,21,33689906,7775785612
12,1036801,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,111764928,2217598567413126323505,739199522471042107833,3628801,5153035948637208466295743,358994837755058856484118400,209,0,111764928,7664020684
13,1123201,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,1000000000,2433030467017873964573,811010155672624654855,3715201,6069784830094118104338001,422861676496556894600889600,209,0,0,8664020684
14,1209601,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,600000000,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,0,0,9264020684
14,1209601,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,96127834,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,50,96127834,9167892850
14,1209601,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,57676700,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,30,57676700,9110216150
14,1209601,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,34606020,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,18,34606020,9075610130
14,1209601,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,13457896,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,7,13457896,9062152234
14,1209601,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,48063917,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,25,48063917,9014088317
14,1209601,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,23070680,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,12,23070680,8991017637
14,1209601,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,17303010,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,9,17303010,8973714627
14,1209601,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,7690226,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,4,7690226,8966024401
14,1209601,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,63444370,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,33,63444370,8902580031
14,1209601,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,40373690,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,21,40373690,8862206341
14,1209601,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,133938116,2525540562561722610198,841846854187240870063,3801601,7075592640382846862898322,492932953946671664780361600,209,0,133938116,8728268225
15,1296001,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,700000000,2643902173439294819487,881300724479764939826,3888001,8119643858590180994578260,565668522148449275953804800,209,0,0,9428268225
16,1382401,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,900000000,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,0,0,10328268225
16,1382401,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,106851639,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,50,106851639,10221416586
16,1382401,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,64110983,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,30,64110983,10157305603
16,1382401,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,38466590,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,18,38466590,10118839013
16,1382401,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,14959229,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,7,14959229,10103879784
16,1382401,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,53425819,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,25,53425819,10050453965
16,1382401,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,25644393,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,12,25644393,10024809572
16,1382401,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,19233295,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,9,19233295,10005576277
16,1382401,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,8548131,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,4,8548131,9997028146
16,1382401,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,70522081,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,33,70522081,9926506065
16,1382401,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,44877688,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,21,44877688,9881628377
16,1382401,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,148879950,2816188767657984992170,938729589219328330720,3974401,9212625426940205264452311,641812904743500966754771200,209,0,148879950,9732748427
17,1468801,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,500000000,2866991734661978085023,955663911553992695004,4060801,10376829778737573222937899,722919141252050934528979200,209,0,0,10232748427
18,1555201,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,900000000,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,0,0,11132748427
18,1555201,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,117470525,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,50,117470525,11015277902
18,1555201,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,70482315,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,30,70482315,10944795587
18,1555201,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,42289389,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,18,42289389,10902506198
18,1555201,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,16445873,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,7,16445873,10886060325
18,1555201,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,58735262,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,25,58735262,10827325063
18,1555201,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,28192926,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,12,28192926,10799132137
