address,amountRaw
0xbe5dba3bab4d32370a639c8c2c42c5b39d5d1c28,20987666
0xbf4040af17aaecf1b1251703df6a5c4e31264f38,20987666
0xc083a93f24168392b327f7d504ae45519661fd29,20987666
0xc172dd1e33b5c5fd55f7ed00fe096a968bab622a,20987666
0xc1782b650ce01f721f355b31e336036db150f097,20987666
0xc1b366b6fbcda89cd4eabe012119c7f03588c776,419753315
0xc1c33204e0f446c9a52859b49dbc92e4613fbc2a,83950663
0xc214bf9a1843b0991b3c2ab3a342554b4bbf8e6c,2602470549
0xc223d351d4bf2ccaf06461d873bebcaccea09736,20987666
0xc28331b186fbb7b1e31f08b124d875aa93f5f541,20987666
0xc2f88a854b8b6584b15210a0edd5d55d0ed231ec,1720988589
0xc341ce875a4368e7a08d3c916176809c093b934c,419753315
0xc369949e4fec0456c1dd6f0e82f8d2589bb897cc,20987666
0xc4dcd016adfc791a2a84c265492605f69ff6a17d,41975332
0xc51d5d3c0be5978641dee77109ca33b31bf56503,20987666
0xc63bd63b226a5e8195318d9fc201ca79bc7e5c76,41975332
0xc73cd55e836268501ddb374d9b6b038bb36b7da0,83950663
0xc84b2c77be878923c5c6e10a414e9e715d3eec99,20987666
0xc8ee65a41285e6bcc40040e614f5a1c6ed7dc0ab,20987666
0xc98e3ac7e3182753de93f666b86b80dcbb9b7966,20987666
0xc9993bee4f3a9fc89f4395880e7ad40a415f3e53,230864323
0xcc3af968417e17d7ba75ebf93c5f12d1da26ff59,20987666
0xcdff0778e1e491f0ff0ecfeb41a06e9dd7ffded6,62962998
0xcf7deafce795a19277a3818781054ab478b8c6bb,20987666
0xd03b616efc0a6f81ce2a7fc1c5af63057da317b5,209876658
0xd2cdf397f2ec6b8634686d23711d88c6dc360a84,272839655
0xd305f361ad9fd50ae4f033ae48f342a20f566a8b,83950663
0xd84d1ce34236031062f6072bfecc0fb3b93ad8ba,419753315
0xd8949a4e28d68f5cd2e24ace935f7128b0fbf0fd,146913660
0xd959bf1d916ea1a5ef4e47206fdd651d6754c9ff,419753315
0xdb655eb624e3cda167a512c6aa7c762ec2dde6bd,440740980
0xdcd6840f257fe494cc16450a92a003b67ef7ea5e,230864323
0xdd2897932c4d54df720ebbbd22364d3928aefe90,20987666
0xddd5a6a133936a51f27a74d32b8665b242439ce1,83950663
0xde6a44dc27992d0b0ec0565548973bc4b779a007,860494295
0xde77ef5b1fddec6fc79c67f809cd3c680c1f1c7e,20987666
0xdedad029f13962b974632aa860191b450328eb6b,3441977177
0xe0398bee4c586dd42359775496f98906bb848bf1,41975332
0xe1402cc4607bbebd19eaca258dcb2b0318d826cd,20987666
0xe2dbf83c02391c9eecc93384e6428d04f2ff887e,20987665
0xe4164b3fb0079db0bd9addbc3110e6302a07ac0c,83950662
0xe851f3907fc519f023d7b887377b64a3ca0e3f26,104938328
0xe8d5ebb23b0056b2421f013dfec2bb4a9a534220,41975331
0xe93d80ffa648720c6bf2647c76c4860786a689f0,20987665
0xeb036a5b64da9146b9d4e1be2eab692685bb7a2b,230864322
0xee18034b21109bc2e3ea75c1595e15387f90d1e7,20987665
0xeefa030a5cf1099e47616ca5fce8b83f65a84d7f,146913659
0xf2c9512c4ca751d0fca03c64b1447263ed7a45d8,20987665
0xf31839743799a97292c2c87d566fa5160dd3e0fd,20987665
0xf3b464fca8beb887b051f3bc45f4f3164ff465fc,188888991
0xf4fb7e861884c21e612efd0d6b63099955bc54df,20987665
0xf5f307af8017b1822789b7e5a8db337d8b2de061,20987665
0xf62d5c650f21099a3cbcc5902509499e2d987284,20987665
0xf68603ebeb4bd60b3e9f76dc62047d69b052a5e4,104938328
0xf73ba896b5980bbbe2cc0f43ccf2d4e8c61a28e8,20987665
0xf815c544859b1050633c399cfaa6e4bcc6a9909c,20987665
0xf8d1a15360d5d1a77e409736bd0cb9d38b23dbd0,20987665
0xfc4436cfc1c3c48450bb44e27a1e9eb06b7e3d4f,20987665
0xfc4eb7bc2a129a2cb9745b4d85c4735e28403f56,83950662
0xfd1e11ea9458bf6ac0472e4a674906cfd958952b,818518962
0xfed8deb751a1da5537b1721f9ec5944d34c2b635,20987665
0xa0ee7a142d267c1f36714e4a8f75612f20a79720,25000000000
